Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL
Pottere Wood,"£59,000",Freehold,about 2 ½ acres,51.7061,-0.240244,"GPS coordinates: 51.7061, -0.240244",https://www.woodlands.co.uk/buying-a-wood/east-anglia/pottere-wood
Byng Wood,"£49,000",Freehold,over 1 ¾ acres,51.7053,-0.239708,"GPS coordinates: 51.7053, -0.239708",https://www.woodlands.co.uk/buying-a-wood/east-anglia/byng-wood
Plantation Wood,"£129,000",Freehold,just over 7 acres,52.1114,-0.788175,"GPS coordinates: 52.1114, -0.788175",https://www.woodlands.co.uk/buying-a-wood/east-anglia/plantation-wood
Hornbill Wood,"£109,000",Freehold,about 3 ⅔ acres,51.6702,-1.20034,"GPS coordinates: 51.6702, -1.20034",https://www.woodlands.co.uk/buying-a-wood/central-england/hornbill-wood
Flittern Wood,"£79,000",Freehold,about 2 ¾ acres,51.6702,-1.20274,"GPS coordinates: 51.6702, -1.20274",https://www.woodlands.co.uk/buying-a-wood/central-england/flittern-wood
Ferris Meadow,"£179,000",Freehold,about 7 ½ acres,51.3266,-0.0167885,"GPS coordinates: 51.3266, -0.0167885",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/ferris-meadow
Tanner Meadow,"£99,000",Freehold,just under 4 acres,51.3259,-0.0170245,"GPS coordinates: 51.3259, -0.0170245",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/tanner-meadow
Sceptre Wood,"£99,000",Freehold,3 ¾ acres,51.3682,0.148233,"GPS coordinates: 51.3682, 0.148233",https://www.woodlands.co.uk/buying-a-wood/south-east-england/sceptre-wood
Leader Copse,"£145,000",Freehold,about 6 acres,51.335,-1.15291,"GPS coordinates: 51.335, -1.15291",https://www.woodlands.co.uk/buying-a-wood/central-england/leader-copse
Rimes Wood,"£75,000",Freehold,over 3 acres,51.3335,-1.1543,"GPS coordinates: 51.3335, -1.1543",https://www.woodlands.co.uk/buying-a-wood/central-england/rimes-wood
South Newdigate Wood,"£89,000",Freehold,5 acres,51.1375,-0.252537,"GPS coordinates: 51.1375, -0.252537",https://www.woodlands.co.uk/buying-a-wood/south-east-england/south-newdigate-wood
South Longfield Wood,"£65,000",Freehold,3 ½ acres,51.1371,-0.254081,"GPS coordinates: 51.1371, -0.254081",https://www.woodlands.co.uk/buying-a-wood/south-east-england/south-longfield-wood
Hillfort Wood,"£85,000",Freehold,over 5½ acres,51.1714,0.29588,"GPS coordinates: 51.1714, 0.29588",https://www.woodlands.co.uk/buying-a-wood/south-east-england/hillfort-wood
Dew Meadow,"£79,000",Freehold,about 2 ¾ acres,50.9544,-0.514037,"GPS coordinates: 50.9544, -0.514037",https://www.woodlands.co.uk/buying-a-wood/south-east-england/dew-meadow
Clydesdale Wood,"£79,000",Freehold,5 ¾ acres,51.3159,0.590239,"GPS coordinates: 51.3159, 0.590239",https://www.woodlands.co.uk/buying-a-wood/south-east-england/clydesdale-wood
Axil Wood,"£109,000",Freehold,about 4 acres,51.1244,-1.37518,"GPS coordinates: 51.1244, -1.37518",https://www.woodlands.co.uk/buying-a-wood/central-england/axil-wood
