Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles,SizeAcres,Size_km2
Pottere Wood,"£59,000",Freehold,about 2 ½ acres,51.7061,-0.240244,"GPS coordinates: 51.7061, -0.240244",https://www.woodlands.co.uk/buying-a-wood/east-anglia/pottere-wood,Borehamwood,51.6578,-0.2722,3.607,2.5,0.010117141056
Byng Wood,"£49,000",Freehold,over 1 ¾ acres,51.7053,-0.239708,"GPS coordinates: 51.7053, -0.239708",https://www.woodlands.co.uk/buying-a-wood/east-anglia/byng-wood,Borehamwood,51.6578,-0.2722,3.565,1.75,0.0070819987392
Plantation Wood,"£129,000",Freehold,just over 7 acres,52.1114,-0.788175,"GPS coordinates: 52.1114, -0.788175",https://www.woodlands.co.uk/buying-a-wood/east-anglia/plantation-wood,Shenley Brook End,52.009,-0.789,7.075,7.0,0.0283279949568
Hornbill Wood,"£109,000",Freehold,about 3 ⅔ acres,51.6702,-1.20034,"GPS coordinates: 51.6702, -1.20034",https://www.woodlands.co.uk/buying-a-wood/central-england/hornbill-wood,Abingdon,51.6717,-1.2783,3.342,3.6666666666666665,0.0148384735488
Flittern Wood,"£79,000",Freehold,about 2 ¾ acres,51.6702,-1.20274,"GPS coordinates: 51.6702, -1.20274",https://www.woodlands.co.uk/buying-a-wood/central-england/flittern-wood,Abingdon,51.6717,-1.2783,3.239,2.75,0.0111288551616
Ferris Meadow,"£179,000",Freehold,about 7 ½ acres,51.3266,-0.0167885,"GPS coordinates: 51.3266, -0.0167885",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/ferris-meadow,Croydon,51.3727,-0.1099,5.127,7.5,0.030351423168
Tanner Meadow,"£99,000",Freehold,just under 4 acres,51.3259,-0.0170245,"GPS coordinates: 51.3259, -0.0170245",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/tanner-meadow,Croydon,51.3727,-0.1099,5.15,4.0,0.0161874256896
Sceptre Wood,"£99,000",Freehold,3 ¾ acres,51.3682,0.148233,"GPS coordinates: 51.3682, 0.148233",https://www.woodlands.co.uk/buying-a-wood/south-east-england/sceptre-wood,Bexleyheath,51.459,0.138,6.289,3.75,0.015175711584
Leader Copse,"£145,000",Freehold,about 6 acres,51.335,-1.15291,"GPS coordinates: 51.335, -1.15291",https://www.woodlands.co.uk/buying-a-wood/central-england/leader-copse,Basingstoke,51.2667,-1.0876,5.498,6.0,0.0242811385344
Rimes Wood,"£75,000",Freehold,over 3 acres,51.3335,-1.1543,"GPS coordinates: 51.3335, -1.1543",https://www.woodlands.co.uk/buying-a-wood/central-england/rimes-wood,Basingstoke,51.2667,-1.0876,5.441,3.0,0.0121405692672
